,,Beef,"Bread, middling",Corn,Flour,Gunpowder,Molasses,Pitch,Pork,Rice,"Salt, coarse","Salt, fine","Rum, West Indian","Staves, barrel","Staves, hogshead","Staves, pipe","Sugar, muscavado",Tar,Turpentine,Wheat,"Wine, Madeira"
m,y,Shillings per barrel,Shillings per hundredweight,Shillings per bushel,Shillings per hundredweight,Pounds per barrel,Shillings per gallon,Shillings per barrel,Shillings per barrel,Shillings per hundredweight,Shillings per bushel,Shillings per bushel,Shillings per gallon,Shillings per thousand,Pounds per thousand,Pounds per thousand,Shillings per hundredweight,Shillings per barrel,Shillings per hundredweight,Shillings per bushel,Pounds per pipe
1,1720,30,14.13,1.58,9.69,7.5,1.49,16.5,45,16,2.33,3,4.11,22.5,2.25,3,41.25,10,8,3.16,18
2,1720,30,14.5,1.62,9.5,7.75,1.46,16.5,45,16,2.33,2.88,3.5,22.5,2.25,3,37.5,10,8,3.19,18
3,1720,30,14.38,1.75,9.5,7.75,1.46,16.5,45,16,2.33,2.5,3.88,22.5,2.25,3,37.5,10,8,3.01,18
4,1720,30,13.75,1.75,8.75,7.5,1.44,16.5,45,16,2.33,2.88,3.06,22.5,2.25,3,37.5,10,8,3.1,18
5,1720,30,13,1.75,8.75,7.5,1.38,16.5,45,16,2.33,2,2.08,22.5,2.25,3,37.5,10,8,3,18
6,1720,30,13,1.75,9.5,7.5,1.38,13.5,47.5,16,2.33,2,2.11,22.5,2.25,3,37.5,10,8,3.13,17.88
7,1720,30,13,1.75,9.5,7.5,1.29,12.5,47.5,17,2.33,2,2.25,22.5,2.25,3,37.5,10,8,3.13,18
8,1720,30,13,1.75,9.25,7.5,1.29,12.5,47.5,18,2.33,2,2.25,22.5,2.25,3,32,10,8,3,18
9,1720,30,13,1.75,9.42,7.5,1.29,12.5,47.5,18,2.33,2,2.22,22.5,2.25,3,32,10,8,3,18
10,1720,30,13,1.75,9.5,7.5,1.21,12.5,47.5,18,2.33,2.13,2.21,22.5,2.25,3,32,10,8,3.02,18
11,1720,30,13,1.75,9.5,7.5,1.21,12.5,47.5,18,2.33,2,2.21,22.5,2.25,3,32,10,8,3.04,18
12,1720,30,12,1.75,8.25,7.5,1.21,11.5,47.5,18,2.33,2.33,2.33,22.5,2.25,3,32,8,8,3.04,18
1,1721,30,13,1.83,8.25,8,1.25,12,45,17.5,2.33,2.5,2.42,22.5,2.25,3,35,8,8,3,20
2,1721,30,13,2,8.75,8,1.25,12,45,17.5,2.33,2.5,2.42,22.5,2.25,3,35,8,8,3.13,20
3,1721,30,13,1.96,8.5,8,1.25,12,45,16.75,2,2.5,2.42,22.5,2.25,3,35,8,8,3,20
4,1721,30,13,1.92,8.75,8,1.25,12,45,16,1.67,2.25,2.42,22.5,2.25,3,35,8,8,2.88,20
5,1721,30,13,1.92,8.25,8,1.27,12,45,16,1.25,1.5,2.04,22.5,2.25,3,35,8,8,2.92,18
6,1721,30,13,1.63,8.5,8,1.25,12,45,14.5,1.17,1.83,2.08,22.5,2.25,3,32.5,8,8,3.04,18
7,1721,30,13,1.54,8.75,8,1.25,12,45,14.5,1.08,1.75,2.21,22.5,2.25,3,32.5,8,8,3.04,18
8,1721,30,13,1.54,9.5,8,1.04,11,45,14.5,1.17,1.67,2.29,22.5,2.25,3,32.5,8,8.5,3.04,18
9,1721,30,13,1.54,9.5,8,1.04,11,45,14.5,1.17,1.58,2.29,22.5,2.25,3,32.5,8,8.5,3.04,18
10,1721,30,13,1.63,9.5,8,1.04,11,45,14.5,1.17,1.5,2.29,22.5,2.25,3,32.5,8,8.5,3.04,18
11,1721,30,13,1.71,8.88,9,1.04,13.5,45,14.5,1.08,1.33,2.42,22.5,2.25,3,30,10,9.5,3.21,20.5
12,1721,30,13,1.88,8.88,9,1.04,13.5,45,14.5,1.08,1.33,2.42,22.5,2.25,3,30,10,9.5,3.21,20.5
1,1722,30,13,1.71,8.88,8.75,1.29,13.5,45,14.5,1,1.33,2.42,22.5,2.25,3,30,10,9.5,3.33,20.5
2,1722,30,13,1.71,8.88,8.5,1.29,13.5,45,14.5,1,1.33,2.42,22.5,2.25,3,30,10,9.5,3.33,20.5
3,1722,30,13,1.71,8.88,8.25,1.29,13.5,45,14.5,1,1.33,2.42,22.5,2.25,3,30,10,9.5,2.92,20.5
4,1722,30,12,1.71,8.75,8,1.29,13.5,45,14.5,1,1.33,2.29,22.5,2.25,3,30,10,9.5,2.92,20.5
5,1722,31,12,1.71,8.75,7.75,1.29,13.5,45,14.5,0.92,1.33,2.29,22.5,2.25,3,30,10,9.5,2.92,20.5
6,1722,31,12.5,1.75,9.25,7.75,1.21,13.5,45,13.5,0.92,1.33,2.29,22.5,2.25,3,30,10,9.5,3.04,20.5
7,1722,31,12.5,1.75,9.75,7.75,1.21,13.5,45,13.5,1.25,1.21,3.17,22.5,2.25,3,30,10.5,9.5,3.04,20.5
8,1722,31,12.5,1.75,9.75,7.5,1.21,13.5,45,13.5,1.25,1.21,3.17,22.5,2.25,3,30,10.5,9.5,3.04,20.5
9,1722,31,12.5,1.75,8.94,7.5,1.21,13.5,45,13.5,1.42,2.67,3.53,22.5,2.25,3,33.75,10.5,9.5,2.86,20.5
10,1722,31,12.5,1.75,8.94,7.5,1.21,13.5,45,13.5,1.42,2.45,3.53,22.5,2.25,3,33.75,10.5,9.5,2.86,20.5
11,1722,31,12.5,1.75,8.13,7.75,1.21,13.5,45,13.5,1.58,2.22,3.88,22.5,2.25,3,37.5,10.5,9.5,2.67,20.5
12,1722,31,12.5,1.75,8.25,7.75,1.21,13.5,45,13.5,1.58,2,3.88,22.5,2.25,3,37.5,10.5,9.5,2.67,20.5
1,1723,31,12.5,1.75,8.38,7.75,1.21,13.5,45,13.5,1.58,3,3.88,22.5,2.25,3,37.5,10.5,9.62,2.67,20.5
2,1723,31,12,1.75,8.38,7.75,1.21,13.5,42.5,13.9,1.58,2.56,3.08,22.5,2.25,3,37.5,10.5,9.74,2.67,20.5
