m,y,Beef,"Bread, middling",Corn,Flour,Molasses,Pitch,Pork,Rice,"Salt, coarse","Salt, fine","Rum, West Indian","Staves, barrel","Staves, hogshead","Staves, pipe","Sugar, muscavado",Tar,Turpentine,Wheat,"Wine, Madeira"
1,1720,74.33,69.72,70.11,75.6,63.89,111.16,75.67,107.46,84.27,102.92,106.02,38.29,43.63,38.03,81.48,92.51,49.04,73.88,68.17
2,1720,74.33,71.55,71.88,74.11,62.6,111.16,75.67,107.46,84.27,98.8,90.29,38.29,43.63,38.03,74.07,92.51,49.04,74.58,68.17
3,1720,74.33,70.96,77.65,74.11,62.6,111.16,75.67,107.46,84.27,85.76,100.09,38.29,43.63,38.03,74.07,92.51,49.04,70.44,68.17
4,1720,74.33,67.85,77.65,68.26,61.74,111.16,75.67,107.46,84.27,98.8,78.94,38.29,43.63,38.03,74.07,92.51,49.04,72.48,68.17
5,1720,74.33,64.15,77.65,68.26,59.17,111.16,75.67,107.46,84.27,68.61,53.66,38.29,43.63,38.03,74.07,92.51,49.04,70.14,68.17
6,1720,74.33,64.15,77.65,74.11,59.17,90.95,79.87,107.46,84.27,68.61,54.43,38.29,43.63,38.03,74.07,92.51,49.04,73.18,67.71
7,1720,74.33,64.15,77.65,74.11,55.31,84.22,79.87,114.18,84.27,68.61,58.04,38.29,43.63,38.03,74.07,92.51,49.04,73.18,68.17
8,1720,74.33,64.15,77.65,72.16,55.31,84.22,79.87,120.89,84.27,68.61,58.04,38.29,43.63,38.03,63.21,92.51,49.04,70.14,68.17
9,1720,74.33,64.15,77.65,73.49,55.31,84.22,79.87,120.89,84.27,68.61,57.27,38.29,43.63,38.03,63.21,92.51,49.04,70.14,68.17
10,1720,74.33,64.15,77.65,74.11,51.88,84.22,79.87,120.89,84.27,73.07,57.01,38.29,43.63,38.03,63.21,92.51,49.04,70.61,68.17
11,1720,74.33,64.15,77.65,74.11,51.88,84.22,79.87,120.89,84.27,68.61,57.01,38.29,43.63,38.03,63.21,92.51,49.04,71.08,68.17
12,1720,74.33,59.21,77.65,64.36,51.88,77.48,79.87,120.89,84.27,79.93,60.11,38.29,43.63,38.03,63.21,74.01,49.04,71.08,68.17
1,1721,74.33,64.15,81.2,64.36,53.6,80.85,75.67,117.54,84.27,85.76,62.43,38.29,43.63,38.03,69.14,74.01,49.04,70.14,75.74
2,1721,74.33,64.15,88.74,68.26,53.6,80.85,75.67,117.54,84.27,85.76,62.43,38.29,43.63,38.03,69.14,74.01,49.04,73.18,75.74
3,1721,74.33,64.15,86.97,66.31,53.6,80.85,75.67,112.5,72.34,85.76,62.43,38.29,43.63,38.03,69.14,74.01,49.04,70.14,75.74
4,1721,74.33,64.15,85.19,68.26,53.6,80.85,75.67,107.46,60.4,77.19,62.43,38.29,43.63,38.03,69.14,74.01,49.04,67.34,75.74
5,1721,74.33,64.15,85.19,64.36,54.45,80.85,75.67,107.46,45.21,51.46,52.63,38.29,43.63,38.03,69.14,74.01,49.04,68.27,68.17
6,1721,74.33,64.15,72.33,66.31,53.6,80.85,75.67,97.39,42.32,62.78,53.66,38.29,43.63,38.03,64.2,74.01,49.04,71.08,68.17
