,,,Bread,,,,,Flour,Flour,Flour,,Iron,Leather,,,,,Rum,Sugar,Sugar,,Tea,,,,
,,Beef,Ship,Chocolate,Coffee,Corn,Cotton,Common,Middling,Superior,Indigo,Bar,Sole,Molasses,Pepper,Pork,Rice,West Indian,Loaf,Muscavado,Tar,Bohea,Tobacco,Turpentine,Wheat,Wine
m,y,Pounds per barrel,Shillings per hundredweight,Pence per pound,Pence per pound,Shillings per bushel,Shillings per pound,Shillings per hundredweight,Shillings per hundredweight,Shillings per hundredweight,Shillings per pound,Pounds per ton,Shillings per pound,Shillings per gal,Shillings per pound,Pounds per barrel,Shillings per hundredweight,Shillings per gal,Shillings per pound,Pounds per hundredweight,Shillings per barrel,Shillings per pound,Shillings per hundredweight,Shillings per barrel,Shillings per bushel,Pounds per pipe
1,1770,2.5,13,18,15.5,3,1.17,14.5,15,17.5,11.5,23,1.33,2,3.75,3.75,18,3.38,0.92,2.75,12,5.3,24.8,15,5.5,45
2,1770,2.75,13,18,15,2.75,1.25,14.6,14,17.5,11.5,23,1.33,1.67,4.33,3.75,17.5,3.08,1.04,2.56,10,5.25,31.2,15,5.5,50
3,1770,2.58,13.2,18,15.5,2.92,1.25,14.8,13.4,17.4,11.5,23,1.33,1.83,4.33,3.81,17.5,3.06,1,2.62,11,5.25,31.2,15,5.71,50
4,1770,2.5,13.2,17,14.7,3.13,1.21,14.7,14,17.8,11.5,23,1.33,1.76,4.33,4,17,2.83,1.02,2.7,10,5,31.2,12,5.56,50
5,1770,2.5,13.3,16,15.7,3.47,1.33,14.8,13.9,18.5,11.5,23,1.33,1.92,4.33,4,16.5,2.96,1.01,2.69,10,7.5,31.2,12,5.67,50
6,1770,2.75,13.5,16,15.8,3.75,1.5,15.5,13.8,19.2,11,23,1.33,1.96,4.33,3.94,16,3.04,1,2.7,12,7.5,31.2,14,5.88,50
7,1770,2.5,13.5,17,16.5,3.75,1.33,16,15,19.5,10.5,23,1.33,1.83,5,4,15,2.92,1,2.65,12,7.5,20,14,6,50
8,1770,2.75,14.5,16,15.5,4.29,1.33,17,15.9,20,10,24,1.33,1.83,5,4.12,15,3,1,2.44,12,7.5,20,14,6.13,50
9,1770,2.5,15.1,16,16.4,4.5,1.42,16.5,16.1,20.3,10,23,1.33,1.83,5,3.92,15.2,3,1,2.46,11,7.25,26.2,13,6.08,50
10,1770,2.5,15.2,16.1,16.7,4.54,1.33,15.9,15.8,21,10,23,1.33,1.88,4.93,3.71,16,2.96,1,2.51,12,6,32.5,14,6.11,50
11,1770,2.5,15.6,16,16.2,4.04,1.33,17,16.4,21.2,10,23,1.33,1.88,2.83,3.65,15.7,2.91,0.99,2.51,12,6,32.5,14,6.38,50
12,1770,2.5,16.1,16,16,3,1.33,17.2,16.4,20.8,10,24,1.33,1.88,2.83,3.58,16,2.98,0.98,2.48,12,5.88,32.5,14,6.5,50
1,1771,2.58,15,16,16,3,1.25,16.3,15.4,20.4,10,23.5,1.33,1.89,2.92,3.62,16,2.97,0.97,2.56,12,5.5,32.5,14,6.33,50
2,1771,2.62,15,16,16,2.95,1.17,16.6,17,20,10,24,1.33,1.83,3,3.62,16,3,0.96,2.38,12,5.5,32.5,14,6.13,50
3,1771,2.62,15,16,16,3.33,1.33,17,17,20.5,9.25,24,1.33,1.83,3,3.88,16,3.17,0.96,2.65,12,5.5,32.5,14,6.75,50
4,1771,2.5,15,15,15,3.42,1.25,17.1,17,20.4,8.5,24,1.33,1.83,2.17,4,16,3.17,0.96,2.65,12,5.38,32.5,14,6.88,50
