m,y,Beef,Bread,Chocolate,Coffee,Corn,Cotton,Common Flour,Flour Middling,Artisan Flour,Indigo,Iron Bar,Leather Sole,Molasses,Pepper,Pork,Rice,Rum,Sugar,Sugar Subsitute,Tar,Tea,Tobacco,Turpentine,Wheat,Wine
1,1770,0.69,0.75,0.93,1.07,0.93,0.51,0.94,1.1,0.94,2.22,0.73,1.05,0.38,0.54,0.69,0.53,0.42,0.58,0.82,0.54,0.77,0.89,0.3,1.04,0.55
2,1770,0.76,0.75,0.93,1.03,0.85,0.54,0.94,1.03,0.94,2.22,0.73,1.05,0.31,0.63,0.69,0.52,0.38,0.66,0.76,0.45,0.76,1.12,0.3,1.04,0.61
3,1770,0.71,0.76,0.93,1.07,0.91,0.54,0.96,0.99,0.94,2.22,0.73,1.05,0.34,0.63,0.7,0.52,0.38,0.63,0.78,0.5,0.76,1.12,0.3,1.08,0.61
4,1770,0.69,0.76,0.88,1.01,0.97,0.52,0.95,1.03,0.96,2.22,0.73,1.05,0.33,0.63,0.74,0.5,0.35,0.65,0.8,0.45,0.72,1.12,0.24,1.05,0.61
5,1770,0.69,0.77,0.83,1.08,1.08,0.58,0.96,1.02,1,2.22,0.73,1.05,0.36,0.63,0.74,0.49,0.37,0.64,0.8,0.45,1.08,1.12,0.24,1.07,0.61
6,1770,0.76,0.78,0.83,1.09,1.16,0.65,1,1.02,1.03,2.12,0.73,1.05,0.37,0.63,0.72,0.47,0.38,0.63,0.8,0.54,1.08,1.12,0.28,1.11,0.61
7,1770,0.69,0.78,0.88,1.14,1.16,0.58,1.03,1.1,1.05,2.03,0.73,1.05,0.34,0.73,0.74,0.44,0.36,0.63,0.79,0.54,1.08,0.72,0.28,1.14,0.61
8,1770,0.76,0.84,0.83,1.07,1.33,0.58,1.1,1.17,1.08,1.93,0.77,1.05,0.34,0.73,0.76,0.44,0.37,0.63,0.73,0.54,1.08,0.72,0.28,1.16,0.61
9,1770,0.69,0.87,0.83,1.13,1.4,0.62,1.06,1.18,1.09,1.93,0.73,1.05,0.34,0.73,0.72,0.45,0.37,0.63,0.73,0.5,1.05,0.94,0.26,1.15,0.61
10,1770,0.69,0.88,0.83,1.15,1.41,0.58,1.03,1.16,1.13,1.93,0.73,1.05,0.35,0.71,0.68,0.47,0.37,0.63,0.75,0.54,0.87,1.17,0.28,1.16,0.61
11,1770,0.69,0.9,0.83,1.12,1.25,0.58,1.1,1.21,1.14,1.93,0.73,1.05,0.35,0.41,0.67,0.46,0.36,0.63,0.75,0.54,0.87,1.17,0.28,1.21,0.61
12,1770,0.69,0.93,0.83,1.1,0.93,0.58,1.11,1.21,1.12,1.93,0.77,1.05,0.35,0.41,0.66,0.47,0.37,0.62,0.74,0.54,0.85,1.17,0.28,1.23,0.61
1,1771,0.71,0.87,0.83,1.1,0.93,0.54,1.05,1.13,1.1,1.93,0.75,1.05,0.35,0.42,0.67,0.47,0.37,0.62,0.76,0.54,0.79,1.17,0.28,1.2,0.61
2,1771,0.72,0.87,0.83,1.1,0.92,0.51,1.07,1.25,1.08,1.93,0.77,1.05,0.34,0.44,0.67,0.47,0.37,0.61,0.71,0.54,0.79,1.17,0.28,1.16,0.61
3,1771,0.72,0.87,0.83,1.1,1.03,0.58,1.1,1.25,1.1,1.79,0.77,1.05,0.34,0.44,0.71,0.47,0.39,0.61,0.79,0.54,0.79,1.17,0.28,1.28,0.61
4,1771,0.69,0.87,0.78,1.03,1.06,0.54,1.1,1.25,1.1,1.64,0.77,1.05,0.34,0.31,0.74,0.47,0.39,0.61,0.79,0.54,0.78,1.17,0.28,1.3,0.61
5,1771,0.7,0.93,0.76,0.96,1.03,0.62,1.14,1.24,1.11,1.99,0.77,1.05,0.33,0.32,0.74,0.44,0.37,0.63,0.71,0.6,0.76,1.17,0.28,1.32,0.61
6,1771,0.71,0.95,0.72,1.09,1.06,0.54,1.15,1.32,1.2,2.03,0.77,1.05,0.32,0.33,0.74,0.48,0.38,0.62,0.77,0.54,0.73,1.17,0.28,1.36,0.61
7,1771,0.71,0.95,0.78,1.1,1.15,0.54,1.12,1.32,1.18,2.12,0.77,1.05,0.31,0.33,0.74,0.52,0.38,0.62,0.77,0.59,0.72,1.17,0.3,1.32,0.61
8,1771,0.69,0.91,0.78,1.03,1.17,0.54,1.1,1.32,1.14,2.22,0.77,1.05,0.32,0.33,0.75,0.5,0.4,0.63,0.72,0.63,0.69,1.17,0.32,1.21,0.61
9,1771,0.7,0.91,0.78,1.1,1.24,0.54,1.14,1.32,1.16,2.18,0.77,1.05,0.32,0.33,0.82,0.52,0.44,0.63,0.73,0.54,0.63,1.17,0.28,1.26,0.61
10,1771,0.69,0.9,0.8,1.07,1.14,0.51,1.15,1.32,1.16,2.14,0.77,1.05,0.33,0.33,0.83,0.52,0.45,0.61,0.82,0.54,0.65,1.17,0.28,1.32,0.61
11,1771,0.69,0.92,0.79,1.07,1.17,0.51,1.21,1.32,1.15,2.09,0.78,1.05,0.33,0.33,0.74,0.53,0.48,0.62,0.76,0.57,0.6,1.17,0.29,1.34,0.61
12,1771,0.77,0.94,0.78,1.03,1.13,0.51,1.23,1.32,1.14,2.22,0.8,1.05,0.34,0.31,0.74,0.58,0.56,0.61,0.76,0.54,0.61,1.17,0.28,1.32,0.61
